# time,flux,flux_err
3.710000000000000142e+01,3.731377656350222394e-02,1.000000000000000021e-02
3.800000000000000000e+01,9.982848787446366168e-02,1.000000000000000021e-02
3.870000000000000284e+01,-3.785132113593943359e-02,1.000000000000000021e-02
3.889999999999999858e+01,-5.923458412353472397e-02,1.000000000000000021e-02
4.100000000000000000e+01,8.565921223670140694e-02,1.000000000000000021e-02
4.200000000000000000e+01,-2.611141646454367624e-02,1.000000000000000021e-02
5.300000000000000000e+01,-6.632011904073244202e-02,1.000000000000000021e-02
5.339999999999999858e+01,-4.391682489739041906e-02,1.000000000000000021e-02
5.410000000000000142e+01,2.364980720763082064e-02,1.000000000000000021e-02
5.470000000000000284e+01,1.047762704431142028e-01,1.000000000000000021e-02
5.500000000000000000e+01,9.523012451135660916e-02,1.000000000000000021e-02
5.600000000000000000e+01,-9.650514831913584168e-02,1.000000000000000021e-02
5.800000000000000000e+01,9.239250427910658536e-02,1.000000000000000021e-02
